,grupo,nivel,comp_destino,comp_especif,sueldo,fmr,c4%,total,media_compl_especif,salario_total
143,A2,20.0,7151.06,24241.14,14992.66,694.96,0.0,47079.82,17941.396666666664,40085.11666666667
144,A2,22.0,8291.78,14804.44,14992.66,694.96,0.0,38783.84,19566.500930232563,42850.940930232566
145,A2,22.0,8291.78,15339.240000000002,14992.66,694.96,0.0,39318.64,19566.500930232563,42850.940930232566
146,A2,22.0,8291.78,15419.880000000001,14992.66,694.96,0.0,39399.28,19566.500930232563,42850.940930232566
147,A2,22.0,8291.78,15580.600000000002,14992.66,694.96,0.0,39560.0,19566.500930232563,42850.940930232566
148,A2,22.0,8291.78,15648.36,14992.66,694.96,0.0,39627.76,19566.500930232563,42850.940930232566
149,A2,22.0,8291.78,15736.42,14992.66,694.96,0.0,39715.82,19566.500930232563,42850.940930232566
150,A2,22.0,8291.78,15747.34,14992.66,694.96,0.0,39726.74,19566.500930232563,42850.940930232566
151,A2,22.0,8291.78,16080.960000000001,14992.66,694.96,0.0,40060.36,19566.500930232563,42850.940930232566
152,A2,22.0,8291.78,16104.759999999998,14992.66,694.96,0.0,40084.159999999996,19566.500930232563,42850.940930232566
153,A2,22.0,8291.78,16271.220000000001,14992.66,694.96,0.0,40250.62,19566.500930232563,42850.940930232566
154,A2,22.0,8291.78,16359.279999999999,14992.66,694.96,0.0,40338.68,19566.500930232563,42850.940930232566
155,A2,22.0,8291.78,16663.36,14992.66,694.96,0.0,40642.76,19566.500930232563,42850.940930232566
156,A2,22.0,8291.78,16880.92,14992.66,694.96,0.0,40860.32,19566.500930232563,42850.940930232566
157,A2,22.0,8291.78,16974.72,14992.66,694.96,0.0,40954.12,19566.500930232563,42850.940930232566
158,A2,22.0,8291.78,17065.72,14992.66,694.96,0.0,41045.12,19566.500930232563,42850.940930232566
159,A2,22.0,8291.78,17112.48,14992.66,694.96,0.0,41091.88,19566.500930232563,42850.940930232566
160,A2,22.0,8291.78,17200.539999999997,14992.66,694.96,0.0,41179.939999999995,19566.500930232563,42850.940930232566
161,A2,22.0,8291.78,17415.72,14992.66,694.96,0.0,41395.12,19566.500930232563,42850.940930232566
162,A2,22.0,8291.78,17600.52,14992.66,694.96,0.0,41579.92,19566.500930232563,42850.940930232566
163,A2,22.0,8291.78,17657.08,14992.66,694.96,0.0,41636.48,19566.500930232563,42850.940930232566
164,A2,22.0,8291.78,17681.16,14992.66,694.96,0.0,41660.56,19566.500930232563,42850.940930232566
165,A2,22.0,8291.78,18031.16,14992.66,694.96,0.0,42010.56,19566.500930232563,42850.940930232566
166,A2,22.0,8291.78,18107.460000000003,14992.66,694.96,0.0,42086.86,19566.500930232563,42850.940930232566
167,A2,22.0,8291.78,18259.22,14992.66,694.96,0.0,42238.62,19566.500930232563,42850.940930232566
168,A2,22.0,8291.78,18529.84,14992.66,694.96,0.0,42509.24,19566.500930232563,42850.940930232566
169,A2,22.0,8291.78,18616.64,14992.66,694.96,0.0,42596.04,19566.500930232563,42850.940930232566
170,A2,22.0,8291.78,19051.2,14992.66,694.96,0.0,43030.6,19566.500930232563,42850.940930232566
171,A2,22.0,8291.78,19064.64,14992.66,694.96,0.0,43044.04,19566.500930232563,42850.940930232566
172,A2,22.0,8291.78,19244.960000000003,14992.66,694.96,0.0,43224.36,19566.500930232563,42850.940930232566
173,A2,22.0,8291.78,19963.02,14992.66,694.96,0.0,43942.42,19566.500930232563,42850.940930232566
174,A2,22.0,8291.78,20143.76,14992.66,694.96,0.0,44123.159999999996,19566.500930232563,42850.940930232566
175,A2,22.0,8291.78,20731.76,14992.66,694.96,0.0,44711.159999999996,19566.500930232563,42850.940930232566
176,A2,22.0,8291.78,23921.38,14992.66,694.96,0.0,47900.78,19566.500930232563,42850.940930232566
177,A2,22.0,8291.78,24208.8,14992.66,694.96,0.0,48188.2,19566.500930232563,42850.940930232566
178,A2,22.0,8291.78,24294.059999999998,14992.66,694.96,0.0,48273.46,19566.500930232563,42850.940930232566
179,A2,22.0,8291.78,24317.58,14992.66,694.96,0.0,48296.98,19566.500930232563,42850.940930232566
